Wall time,Step,Value
1540891032.161497,0,0.10000000149011612
1540891038.3764539,100,0.10399999469518661
1540891044.4541023,200,0.10815999656915665
1540891050.403894,300,0.11698583513498306
1540891056.348873,400,0.12166526168584824
1540891062.2648206,500,0.13159315288066864
1540891068.2118855,600,0.13685686886310577
1540891074.1491158,700,0.14802436530590057
1540891080.4610007,800,0.15394534170627594
1540891086.5812802,900,0.1665072739124298
1540891092.6437793,1000,0.17316755652427673
